TensorFlow,Keras
252.224016,207.491203
252.213715,205.855994
251.605185,207.294148
238.463824,205.746622
237.906708,205.483833
236.750485,207.570632
231.805008,208.020121
228.272614,210.042647
228.430985,210.646663
228.505312,213.526450
228.696812,211.594110
227.694003,211.339577
227.884843,211.007211
227.332501,210.503632
250.488591,211.109952
250.155291,211.736276
249.933580,211.705744
249.133143,211.538113
249.574968,209.702108
249.765824,212.200979
249.730742,211.058952
249.945419,214.597751
249.438865,211.229714
252.402804,210.419325
237.156711,210.183631
231.364951,209.009743
237.067980,208.589475
236.480802,208.077510
236.073498,210.691677
237.947008,208.667208
235.816803,207.493252
231.141860,207.869471
231.393645,209.565860
240.992607,207.895753
244.881760,207.439832
245.354354,207.870760
245.201734,209.468099
246.890941,208.205219
247.253266,208.746727
244.986928,208.551235
242.610922,207.720838
244.512750,215.044697
240.423066,212.304134
241.399777,211.396582
243.360759,209.630550
242.431421,209.106452
244.899480,208.651657
243.664519,209.833538
242.556153,208.761239
237.204844,209.149801
231.317667,208.692324
245.047425,209.708076
249.901997,208.177938
245.898648,208.049320
244.600167,207.622468
241.006622,208.049489
232.644947,208.684373
228.539896,208.512061
226.598973,208.539793
232.461821,208.908204
232.930389,208.853621
235.116786,208.528205
239.076960,208.454364
237.148898,208.103319
232.112800,211.378008
230.997606,211.600857
223.159091,211.737382
221.238953,211.405566
219.943548,212.958661
229.178388,211.069607
232.889199,209.995363
235.310524,209.179242
238.126560,206.695300
235.897512,204.553689
232.389356,205.665816
228.156325,205.781000
229.663347,207.326535
227.751334,206.721508
230.948376,205.736976
229.969185,206.985300
227.354650,206.554403
226.878086,205.454329
226.265873,209.794582
230.667316,208.433207
236.716622,212.980052
233.169196,211.921913
236.019511,211.139930
231.532987,209.943344
229.787941,214.031080
228.992279,212.134537
231.786748,207.973536
232.048977,210.619586
229.338729,212.020982
224.649903,210.348795
229.024179,209.222631
230.783957,207.510495
232.871700,206.682207
229.306632,209.399271
226.841598,210.907142
232.947941,210.128388
