TensorFlow2,Keras
13.758057,22.320140
13.786083,22.429016
13.704440,22.300875
13.717858,22.383904
13.689542,22.478489
13.736617,22.143441
13.718284,22.068460
13.693189,22.113982
13.638355,22.006274
13.602663,22.110711
13.753802,22.195610
13.711000,21.874013
13.733173,22.438757
13.743455,22.123901
13.931108,21.837830
14.023662,21.921709
13.776532,22.117680
13.735122,22.098909
13.752447,22.201453
13.752621,22.138592
13.605954,22.395483
13.736488,22.443441
13.793828,22.049998
13.781691,22.291866
13.718316,22.227296
13.678670,22.098351
13.779874,22.655326
13.760805,22.604335
13.750650,22.861762
13.666371,22.382123
13.621179,22.563593
13.671485,22.826334
13.665071,22.649413
13.620875,22.484184
13.693842,22.717427
13.666578,22.533501
13.637520,22.451053
13.961995,22.370374
13.667296,22.333244
13.604021,22.567431
13.713799,22.741722
13.712080,22.427143
13.707050,22.515272
13.713857,22.460629
13.694827,22.498475
13.760852,22.660320
13.844579,22.376793
13.729572,22.494190
13.746430,22.455893
13.771660,22.409886
13.840896,22.609768
13.769069,22.353061
13.792246,22.446536
13.783054,22.517853
13.782445,22.578779
13.719367,22.293892
13.713749,22.301947
13.754055,22.285762
13.808431,22.399393
13.780828,22.611171
14.135348,22.615403
13.711380,22.384953
13.759727,22.431038
13.880036,22.500081
13.746847,22.536643
13.735496,22.348930
13.757342,22.319105
13.793172,22.596394
13.720917,22.586905
13.801362,22.365753
13.763352,22.348446
13.680822,22.395027
13.696685,22.597494
13.657033,22.500131
13.668985,22.226870
13.730936,22.377083
13.674605,22.495757
13.649495,22.367755
13.716907,22.426758
13.703557,21.115485
13.767365,21.645916
13.690668,21.707144
13.893641,21.801964
13.744713,21.828725
13.631398,21.832083
13.756518,21.662545
13.563090,21.937933
13.706429,21.766050
13.598266,21.766539
13.567098,21.870069
13.633516,21.659409
13.640298,21.739936
13.657450,22.389012
13.697273,21.642664
13.569974,21.626099
13.621206,21.880702
13.595388,21.658791
13.640569,21.646351
13.622040,21.476042
13.674482,21.679940
